married,race,loan_decision,occupancy,loan_amount,applicant_income,num_units,num_dependants,self_employed,monthly_income,purchase_price,liquid_assets,mortage_payment_history,consumer_credit_history,filed_bankruptcy,property_type,gender
true,white,reject,1,128,74,1,1,False,4583,160.0,52.0,2,2,False,2,male
false,white,approve,1,128,84,1,0,False,2666,143.0,37.0,2,2,False,2,male
true,white,approve,1,66,36,1,0,True,3000,110.0,19.0,2,6,True,2,male
true,white,approve,1,120,59,1,0,False,2583,134.0,31.0,2,1,False,1,male
false,white,approve,1,111,63,1,0,False,2208,138.0,169.0,2,6,False,2,male
false,white,approve,1,141,72,1,0,False,6000,157.0,38.0,2,1,False,1,male
false,white,approve,1,276,90,1,0,False,7500,346.0,142.0,2,1,False,2,male
true,white,approve,1,100,72,1,1,False,3234,99.7,24.5,2,1,False,2,male
true,white,approve,1,267,144,1,2,True,5417,422.0,111.0,1,1,False,2,male
true,white,approve,1,175,97,1,0,False,6292,346.7,186.6,1,2,False,2,male
true,white,approve,1,95,46,1,0,False,2333,135.0,52.33,2,6,False,2,male
true,white,reject,1,158,666,1,4,False,3036,210.0,188.0,2,6,True,1,male
true,white,approve,1,110,60,1,0,False,5720,143.0,153.0,1,3,False,2,male
true,white,approve,1,40,48,1,0,False,3103,197.0,34.0,1,1,False,2,male
true,black,approve,1,70,33,1,1,True,2800,78.0,10.0,2,1,False,1,male
true,white,approve,1,168,66,1,2,False,4006,210.0,66.0,2,1,False,2,male
true,white,approve,2,114,98,1,1,False,5438,170.0,36.0,1,1,False,1,male
true,white,approve,1,349,285,1,1,False,12841,387.0,57.0,1,2,False,2,male
true,white,approve,1,185,99,1,0,False,5600,196.0,24.0,2,1,False,2,male
true,white,approve,1,126,55,1,1,False,3076,140.0,19.0,2,1,False,2,male
true,white,approve,1,100,666,1,0,True,7589,208.0,347.0,3,4,False,1,female
true,white,approve,1,70,47,1,2,False,3200,70.0,11.5,1,1,False,2,male
true,white,approve,1,125,59,1,0,True,3000,180.0,8.0,1,1,False,2,male
false,white,approve,1,130,135,1,0,False,11283,230.0,124.0,2,1,False,2,male
true,white,approve,1,109,52,1,2,False,2500,115.0,13.6,2,1,False,2,male
true,black,approve,1,200,117,1,2,False,3073,250.0,83.5,1,5,False,2,male
false,white,reject,1,114,56,1,0,False,1853,120.0,14.0,2,1,False,2,male
true,white,approve,1,17,31,1,2,False,1299,57.0,50.0,2,1,False,2,male
true,hispan,approve,1,208,82,1,2,False,5000,260.0,14.0,1,1,False,2,male
false,white,approve,1,125,64,1,0,False,4950,225.0,219.0,1,1,False,2,male
true,white,approve,1,187,177,1,0,True,13000,234.0,48.0,1,1,False,2,male
false,white,approve,1,100,44,1,1,False,3596,100.0,20.0,1,1,False,2,male
true,white,approve,1,100,59,1,2,False,2340,125.0,3.0,2,1,False,2,male
false,black,reject,1,76,42,1,0,False,3510,80.0,8.0,2,6,False,2,female
false,black,approve,1,121,666,1,0,False,4706,161.0,46.0,2,1,False,1,female
true,white,reject,1,133,666,1,0,False,4887,118.0,63.0,2,1,False,2,male
false,white,approve,1,140,63,1,0,False,5233,200.0,123.0,2,1,False,2,female
false,white,approve,1,70,31,1,0,False,2567,77.0,11.0,2,1,False,1,male
true,white,approve,1,115,73,1,0,False,2600,128.0,23.0,2,1,False,2,male
true,white,approve,1,252,106,1,1,True,5167,315.0,29.0,1,2,False,2,male
true,white,reject,1,104,92,1,0,False,7660,130.0,1.0,2,6,False,1,male
true,white,approve,1,100,53,1,0,False,3328,270.0,17.0,1,1,False,2,male
true,white,approve,1,100,123,1,0,False,6333,125.0,26.0,2,6,False,2,female
true,white,approve,1,315,139,1,1,False,5955,355.0,42.9,1,1,False,2,male
true,black,reject,1,116,62,1,0,False,2600,145.0,1.0,2,4,False,2,male
true,white,approve,1,632,351,1,0,False,24166,790.0,183.0,1,1,False,2,male
false,white,approve,1,112,60,1,0,True,5000,140.0,49.0,2,2,False,2,male
true,hispan,reject,1,112,68,1,2,False,3365,118.0,9.0,3,6,False,2,male
false,black,approve,1,78,39,1,0,False,3276,115.0,31.0,2,6,False,1,male
true,black,approve,1,151,74,2,1,False,3717,158.0,14.0,2,5,False,3,male
true,white,approve,1,115,57,1,0,True,3900,150.0,6.0,1,2,False,2,male
true,white,approve,1,152,72,2,0,True,2165,140.0,47.0,2,1,False,3,male
false,hispan,approve,1,59,27,1,1,False,2226,66.0,11.0,2,2,False,1,female
true,white,reject,2,147,54,1,2,False,3881,165.0,34.0,2,5,False,2,male
false,hispan,approve,1,80,44,1,0,False,3685,101.0,34.0,2,1,False,1,male
true,white,approve,1,130,55,1,0,False,2824,144.0,26.0,2,1,False,2,male
true,white,approve,1,280,157,1,2,False,13633,350.0,129.3,1,2,False,2,male
true,white,approve,1,175,108,1,0,True,5000,345.0,228.0,4,3,False,2,male
true,white,approve,1,187,103,1,1,False,4042,330.0,44.02,1,1,False,2,male
true,white,approve,1,310,119,1,2,False,13567,457.0,154.0,1,1,False,2,male
true,white,approve,1,345,275,1,1,False,12579,388.0,83.0,1,1,False,2,female
